model,the,nccm,was,joined,by,other,groups,in,calling,for,more,funding,and,resources,for,police,forces,to,fight,hate,crimes,and,improve,reporting,.
mainly,-1,-0.6821038495404332,-1,0.4292066213859529,-1,-1,0.590079900639987,-1,0.5168487070669731,-1,-1,0.36002700929907205,-1,0.4846164379313518,-1,0.38921610698704723,0.570276664653028,-1,0.38761363903554025,0.30409472656386605,0.3986988493587782,-1,0.40445916764628054,0.6641744992784148,-1
by,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
incidents,-1,-0.4688157763036027,-1,0.11884451767886828,-1,-1,0.3187250313489025,-1,0.2930285538476358,-1,-1,0.25942663710327096,-1,0.33235811728167597,-1,0.43445563745078897,0.29966627725078365,-1,0.27144417968466905,0.5223214302022812,0.6269882582628459,-1,0.26996487174154105,0.6060617043416203,-1
targeting,-1,-0.5372221669107173,-1,0.2758063651789038,-1,-1,0.5830962368110096,-1,0.534981447564968,-1,-1,0.24760659074211055,-1,0.3890516121264884,-1,0.36549424225552496,0.6116314146316114,-1,0.5181427256969892,0.39531138078582306,0.44172238523662943,-1,0.3130332125546754,0.5511008600466447,-1
muslims,-1,-0.5749397775738241,-1,0.3645789436726252,-1,-1,0.5705849650249047,-1,0.4575156739092764,-1,-1,0.2163472273447874,-1,0.42497976444454244,-1,0.29006149775779466,0.5562007232079589,-1,0.44983525611317365,0.3475692685020819,0.4094441104864426,-1,0.24282727419668315,0.4630270239686656,-1
arabs,-1,-0.19002141744227563,-1,0.13523838337815153,-1,-1,0.23492166898674594,-1,0.08655475598722484,-1,-1,-0.07480400202858961,-1,0.06090037841447038,-1,0.08356294890793059,0.3158529199334814,-1,0.1629022229590118,0.2033859058688896,0.1977273656806503,-1,-0.07432616264094327,0.10192603941537826,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
west,-1,-0.5626226719775493,-1,0.5133075674101284,-1,-1,0.27705648879532974,-1,0.4025674817670135,-1,-1,0.3016631794750153,-1,0.3958849763684933,-1,0.5935658522217445,0.4463003203521192,-1,0.39293471874580665,0.17783994622940602,0.21958564634478706,-1,0.3140176987807626,0.3944398386992056,-1
asians,-1,-0.15516937671679654,-1,0.06654525317761295,-1,-1,0.10370252619861053,-1,-0.01197152641313326,-1,-1,-0.0328628201877843,-1,0.14927039254080243,-1,0.1612405628837471,0.23546000208736795,-1,-0.03849866203643382,0.045723228949065,0.07658020328113335,-1,-0.010273099196064894,0.04661467036042677,-1
say,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
official,-1,-0.5647687156436656,-1,0.3093892821312587,-1,-1,0.2772977412189589,-1,0.6111056041262716,-1,-1,0.4594839193963829,-1,0.3911274523648347,-1,0.4811440670531739,0.4398126478619111,-1,0.29668299587823865,0.2723921621002754,0.279001598240723,-1,0.3277992494111044,0.6649778980972866,-1
figures,-1,-0.5562930734347202,-1,0.3139551274078436,-1,-1,0.37564128255364704,-1,0.5025133582796141,-1,-1,0.5326023757018651,-1,0.4595920811868135,-1,0.3952290858582219,0.3832957631622895,-1,0.19779303764156897,0.28198077576013314,0.38247465164703454,-1,0.4218158718692335,0.734922281452577,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
